gmap_id,url,latitude,longitude,avg_rating,State,state,address
0x80e849691015d7b7:0x314b8627656bc6d5,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80e849691015d7b7:0x314b8627656bc6d5?authuser=-1&hl=en&gl=us,34.2151006,-119.0688134,4.5,CA,Open ⋅ Closes 7PM,"Ulta Beauty, 500 Ventura Blvd Ste 1514, Camarillo, CA 93010"
0x89e7ad0b7da12a11:0x2cab11e09a406d3a,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89e7ad0b7da12a11:0x2cab11e09a406d3a?authuser=-1&hl=en&gl=us,41.719117999999995,-72.760741,4.2,CT,Closed ⋅ Opens 10AM,"Ulta Beauty, 1555 New Britain Ave, West Hartford, CT 06110"
0x89c2d130d433cc0b:0xb550e43a7ce3540,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89c2d130d433cc0b:0xb550e43a7ce3540?authuser=-1&hl=en&gl=us,41.3146128,-74.1331232,4.6,NY,Closed ⋅ Opens 11AM,"Ulta Beauty, 9 Centre Dr, Woodbury, NY 10917"
0x89c30355aba7b017:0x3735266fb77aee42,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89c30355aba7b017:0x3735266fb77aee42?authuser=-1&hl=en&gl=us,40.9600015,-74.2295226,3.7,NJ,Closed ⋅ Opens 11AM,"Ulta Beauty, 914 Hamburg Turnpike, Wayne, NJ 07470"
0x89b62b6664208fed:0x5c970eed3a4cec49,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89b62b6664208fed:0x5c970eed3a4cec49?authuser=-1&hl=en&gl=us,39.2035384,-77.2481349,4.6,MD,Closed ⋅ Opens 10AM,"Ulta Beauty, 20938 Frederick Rd, Germantown, MD 20874"
0x89c39bff14375f07:0xc5ee9c1210c05e9a,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89c39bff14375f07:0xc5ee9c1210c05e9a?authuser=-1&hl=en&gl=us,40.7783525,-74.6974616,4.8,NJ,Closed ⋅ Opens 10AM,"Ulta Beauty, 213 US-206 Ste 380, Chester, NJ 07930"
0x54c8d5e692d7ae15:0x29cf0300c7eb68ce,https://www.google.com/maps/place//data=!4m2!3m1!1s0x54c8d5e692d7ae15:0x29cf0300c7eb68ce?authuser=-1&hl=en&gl=us,42.2090745,-121.7555814,3.6,OR,Open ⋅ Closes 8PM,"Ulta Beauty, 2870 S 6th St, Klamath Falls, OR 97603"
0x89e8bfb8c1c6ea03:0x26dba039722009e0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89e8bfb8c1c6ea03:0x26dba039722009e0?authuser=-1&hl=en&gl=us,40.9341144,-72.3171619,4.1,NY,Closed ⋅ Opens 10AM Mon,"Ulta Beauty, 2044 Montauk Hwy Ste 54, Water Mill, NY 11976"
0x88c2c39fe4d578a9:0x6189d55364509b43,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88c2c39fe4d578a9:0x6189d55364509b43?authuser=-1&hl=en&gl=us,27.957648499999998,-82.5081821,4.1,FL,Closed ⋅ Opens 10AM Mon,"Ulta Beauty, 1702 N Dale Mabry Hwy Space 1702A, Tampa, FL 33607"
0x88626770c6f52645:0x509b4f1c55e02490,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88626770c6f52645:0x509b4f1c55e02490?authuser=-1&hl=en&gl=us,34.7490222,-86.75570859999999,4.6,AL,Closed ⋅ Opens 10AM,"Ulta Beauty, 8201 Lee Hwy, Hwy 72 W, Madison, AL 35758"
