user_id,business_id,stars,text,year,state,state_name,latitude,longitude,source,month
1.1182315034223008e+20,0x88892218e9cd6499:0x421281dcaf386e1d,5,Both budget priced and high quality cosmetics offered. Great place for all your skin care needs.,2017,AL,Alabama,33.3758956,-86.8176831,G,5
1.0426294042472812e+20,0x88892218e9cd6499:0x421281dcaf386e1d,3,"SOMER IS THE BEST STYLIST THEY HAVE, OTHER STYLIST ARE EXTREMELY RUDE!!!",2017,AL,Alabama,33.3758956,-86.8176831,G,9
1.0437263788144396e+20,0x88892218e9cd6499:0x421281dcaf386e1d,5,Very helpful staff.  Everyone seemed knowledgeable and pleasant.,2017,AL,Alabama,33.3758956,-86.8176831,G,2
1.1439173830566786e+20,0x88892218e9cd6499:0x421281dcaf386e1d,5,Fantastic selection and great staff,2017,AL,Alabama,33.3758956,-86.8176831,G,3
1.0902606940655513e+20,0x88892218e9cd6499:0x421281dcaf386e1d,5,Great products!,2016,AL,Alabama,33.3758956,-86.8176831,G,12
1.04885886946366e+20,0x88892218e9cd6499:0x421281dcaf386e1d,1,Employees are consistently rude/condescending.,2016,AL,Alabama,33.3758956,-86.8176831,G,11
1.0682336922012762e+20,0x88892218e9cd6499:0x421281dcaf386e1d,5,GREAT,2015,AL,Alabama,33.3758956,-86.8176831,G,5
1.1604336638850376e+20,0x88892218e9cd6499:0x421281dcaf386e1d,3,"Build one closer to Oxford, AL.",2015,AL,Alabama,33.3758956,-86.8176831,G,10
1.1506790155723216e+20,0x88892218e9cd6499:0x421281dcaf386e1d,4,,2015,AL,Alabama,33.3758956,-86.8176831,G,12
1.0949772613261073e+20,0x88892218e9cd6499:0x421281dcaf386e1d,4,,2018,AL,Alabama,33.3758956,-86.8176831,G,1
1.000373699352377e+20,0x8888a833c3af13fd:0x343c3567897354e5,5,They are always helpful. Always have what ever I need in store.  Yes I would shop more if they were not so pricey but the people are great friendly in all departments.,2021,AL,Alabama,33.1959361,-87.5275008,G,5
1.1345489993342693e+20,0x8888a833c3af13fd:0x343c3567897354e5,1,"Manager and Associate held me up at checkout saying I couldn’t use my coupon. They said it excluded the brand I was purchasing... however, the fine print didn’t exclude it. Then they said I didn’t even have the right status to be getting that coupon... They also said I needed to buy more to get the coupon to work which was not true. After being told no more than 3 times, they finally scanned it (something they should’ve done from the get-go) and it worked. Manager was not nice and actually seemed upset when it worked. The whole ordeal was embarrassing and took up time, which was not necessary. They need to listen to their customers and not be so proud when wrong.",2021,AL,Alabama,33.1959361,-87.5275008,G,2
1.0119939925492117e+20,0x8888a833c3af13fd:0x343c3567897354e5,5,The staff is always friendly and eager to help you find what you are looking for.,2021,AL,Alabama,33.1959361,-87.5275008,G,2
1.042691360126089e+20,0x8888a833c3af13fd:0x343c3567897354e5,5,"You ladies and men that work at Ulta in Tuscaloosa have ALWAYS treated me so well and have helped me any time I needed it. I wanted to leave a new review bc I have been particularly impressed at how great you ALL have performed during these difficult days we are in, due to Covid-19. Shopping in-store, I do feel safe as is possible, so I do appreciate y'all for putting in so much extra work and effort- IT SHOWS! THANK YOU for being there when many other stores didn't even try to open in the beginning of the ""reopen stage."" (and YES, I understand why some did not- no issue with that)
Playing around with makeup is an outlet for me because I'm already stuck in the house 95% of the time anyway, due to an illness. So I am EXTREMELY APPRECIATIVE that you all have chosen to come (back) to work. The curbside pick-up option has been such a great thing to do. You all have been so nice and friendly to me and I wish you the very best and PLEASE CONTINUE TO STAY SAFE and take care of yourselves! THANKS AGAIN! -Amanda",2020,AL,Alabama,33.1959361,-87.5275008,G,8
